AlunoID,InfoID,EscolaID,TempoID,SaudeComportatmentoID,DesempenhoID,sexo,idade,endereco,tamanho_da_familia,estado,status_pais,educacao_mae,educacao_pai,profissao_mae,profissao_pai,escolaridade_pai,escolaridade_mae,escola,motivo,suporte_escolar,suporte_familiar,aulas_pagas,atividades,creche,ensino_superior,tempo_viagem,tempo_estudo,tempo_livre,consumo_alcool_dia,consumo_alcool_fim_semana,saude,relacionamento_amoroso,relacao_familiar,sair,reprovacoes,faltas,nota_G1,nota_G2,nota_G3
1,1,1,1,1,1,F,17,"Rua 1, Bairro Centro",GT3,Goiás,T,Ensino Médio,Fundamental,Outro,Outro,Incompleto,Completo,Escola B,Reputação,True,True,True,True,True,False,47,9,2,2,2,4,True,2,4,3,2,12,13,17
2,2,2,2,2,2,M,18,"Rua 2, Bairro Centro",LE3,Goiás,A,Ensino Médio,Ensino Médio,Professora,Engenheiro,Incompleto,Incompleto,Escola B,Custo,False,True,True,False,False,False,18,1,1,1,1,2,False,4,3,1,2,0,4,14
3,3,3,3,3,3,M,18,"Rua 3, Bairro Centro",LE3,Goiás,A,Ensino Superior,Ensino Médio,Professora,Advogado,Completo,Completo,Escola B,Reputação,True,False,False,True,True,False,49,1,1,3,4,2,True,4,1,0,12,4,0,8
4,4,4,4,4,4,M,19,"Rua 4, Bairro Centro",GT3,Goiás,T,Ensino Superior,Fundamental,Médica,Comerciante,Incompleto,Completo,Escola A,Custo,False,False,True,True,False,False,45,10,2,3,5,3,True,3,5,1,13,3,4,3
5,5,5,5,5,5,F,15,"Rua 5, Bairro Centro",GT3,Goiás,A,Fundamental,Ensino Médio,Professora,Outro,Incompleto,Incompleto,Escola B,Reputação,False,False,True,True,True,False,57,6,2,5,4,1,True,2,5,2,10,6,0,9
6,6,6,6,6,6,M,16,"Rua 6, Bairro Centro",GT3,Goiás,A,Ensino Superior,Ensino Médio,Administradora,Advogado,Incompleto,Incompleto,Escola A,Custo,True,False,True,True,True,False,60,3,5,3,2,3,True,5,1,3,6,15,0,17
7,7,7,7,7,7,M,19,"Rua 7, Bairro Centro",LE3,Goiás,A,Fundamental,Ensino Superior,Professora,Outro,Completo,Completo,Escola B,Custo,True,False,True,True,True,True,34,8,4,4,5,4,False,3,3,0,14,20,6,18
8,8,8,8,8,8,M,18,"Rua 8, Bairro Centro",LE3,Goiás,T,Ensino Médio,Fundamental,Administradora,Outro,Completo,Completo,Escola A,Custo,False,False,False,True,False,False,49,3,2,3,3,5,True,3,4,1,3,10,5,10
9,9,9,9,9,9,M,15,"Rua 9, Bairro Centro",GT3,Goiás,A,Ensino Médio,Ensino Superior,Médica,Engenheiro,Completo,Completo,Escola B,Reputação,True,False,False,False,True,False,37,3,5,5,1,5,False,4,3,2,2,13,10,8
10,10,10,10,10,10,M,15,"Rua 10, Bairro Centro",GT3,Goiás,T,Fundamental,Fundamental,Administradora,Advogado,Completo,Completo,Escola B,Custo,True,False,False,False,False,True,60,4,5,3,2,1,True,4,3,2,6,18,19,13
